,coef,se,t,p,N
ln_gdp_pc,-0.19902038789784263,0.6157075378359008,-0.32323851125383785,0.746514617234669,164
ln_gdp_pc_sq,0.012702029060035626,0.16526000370711724,0.07686087846486347,0.938734219905607,164
ln_energy_pc,0.8349228224910963,0.25283948045376314,3.3021853271992425,0.0009593466191804012,164
energy_intensity,0.08220539572122001,0.35619841975720246,0.2307854026338863,0.8174815221502507,164
